0,1,2,3,4,5,6,7,8,9,class
0.0,0.00050808705,0.0,0.0,0.0,0.0,0.0,0.02741922,1.0,3.552802e-06,1
0.0,0.0065204506,0.006289308,0.0,0.0,0.0,0.0,0.17725752,1.0,5.333367e-06,1
0.0,0.0003387247,0.23076923,0.0,0.0,0.0,0.0,0.0002487631,1.0,0.0003351121,1
0.0,8.4681174e-05,0.0,0.0,0.0,0.0,0.0,0.025152713,1.0,1.3563589e-06,1
0.0,0.00016936235,0.33333334,0.0,0.0,0.0,0.0,0.02985157,1.0,1.5054363e-06,1
0.0,4.2340587e-05,0.0,0.0,0.0,0.0,0.0,0.0019624643,1.0,1.921751e-05,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025981923,1.0,1.1936272e-05,1
0.0,0.00016936235,0.0,0.0,0.0,0.0,0.0,0.013516128,1.0,3.8475946e-06,1
0.0,0.006351088,0.045161292,0.0,0.0,0.0,0.0,0.17062384,1.0,5.406845e-06,1
0.0,0.00021170294,0.0,0.0,0.0,0.0,0.0,0.00022112275,1.0,0.00028990235,1
0.0,4.2340587e-05,0.33333334,0.0,0.0,0.0,0.0,0.00013820172,1.0,0.00027808032,1
0.0,4.2340587e-05,0.0,0.0,0.0,0.0,0.0,0.023936538,1.0,1.1787084e-06,1
0.0,0.003683631,0.0,0.0,0.0,0.0,0.0,0.13109815,1.0,4.078393e-06,1
0.0,0.0003387247,0.23076923,0.0,0.0,0.0,0.0,0.029879212,1.0,2.3641658e-06,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039802097,1.0,3.7495724e-07,1
0.0,0.0022017106,0.0,0.0,0.0,0.0,0.0,0.097763896,1.0,3.3152162e-06,1
0.0,0.00021170294,0.2,0.0,0.0,0.0,0.0,0.029823931,1.0,1.7227617e-06,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034274026,1.0,8.944061e-06,1
0.0,0.0011431959,0.0,0.0,0.0,0.0,0.0,0.0065784017,1.0,3.083449e-05,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005085823,1.0,5.886643e-06,1
0.0,0.0006351088,0.0,0.0,0.0,0.0,0.0,0.006910086,1.0,1.8171384e-05,1
0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.010144006,1.0,2.735751e-06,1
0.0,0.0006774494,0.0,0.0,0.0,0.0,0.0,0.0065507614,1.0,2.0173025e-05,1
0.0,0.00029638413,0.0,0.0,0.0,0.0,0.0,0.004975262,1.0,1.507049e-05,1
0.0,0.009907697,0.012552301,0.0,0.0,0.0,0.0,0.27059898,1.0,5.24483e-06,1
0.0,0.00084681174,0.08,0.0,0.0,0.0,0.0,0.08292103,1.0,1.5054478e-06,1
0.0,0.00025404352,0.0,0.0,0.0,0.0,0.0,0.027170459,1.0,2.1698236e-06,1
0.0,4.2340587e-05,0.0,0.0,0.0,0.0,0.0,0.03687222,1.0,6.134502e-07,1
0.0,0.0118977055,0.024475524,0.0,0.0,0.0,0.0,0.36382985,1.0,4.6203904e-06,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009176594,1.0,3.0697465e-06,1
0.0,0.00084681174,0.0,0.0,0.0,0.0,0.0,0.07689544,1.0,1.6573091e-06,1
0.0,0.007409603,0.03888889,0.0,0.0,0.0,0.0,0.16368611,1.0,6.6360967e-06,1
0.0,8.4681174e-05,0.0,0.0,0.0,0.0,0.0,0.022139916,1.0,1.5997878e-06,1
0.0,0.00012702176,0.25,0.0,0.0,0.0,0.0,0.014179496,1.0,3.1940374e-06,1
0.0,0.00029638413,0.0,0.0,0.0,0.0,0.0,0.07147793,1.0,6.4662134e-07,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015616794,1.0,1.6254701e-06,1
0.0,0.0011855365,0.0,0.0,0.0,0.0,0.0,0.06993007,1.0,2.6008254e-06,1
0.0,0.0003387247,0.0,0.0,0.0,0.0,0.0,0.049503855,1.0,1.255487e-06,1
0.0,0.0006351088,0.0,0.0,0.0,0.0,0.0,0.030266177,1.0,3.8150692e-06,1
0.0,0.0019053265,0.36,0.0,0.0,0.0,0.0,0.04403107,1.0,6.866803e-06,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01605904,1.0,1.5687963e-06,1
0.0,0.0003810653,0.0,0.0,0.0,0.0,0.0,0.043920506,1.0,1.6164273e-06,1
0.0,0.0029215005,0.0,0.0,0.0,0.0,0.0,0.08018464,1.0,5.4996476e-06,1
0.0,8.4681174e-05,0.0,0.0,0.0,0.0,0.0,0.02642417,1.0,1.2702834e-06,1
0.0,8.4681174e-05,0.0,0.0,0.0,0.0,0.0,0.024074739,1.0,1.4364575e-06,1
0.0,0.002455754,0.0,0.0,0.0,0.0,0.0,0.08366732,1.0,4.4076146e-06,1
0.0,8.4681174e-05,0.0,0.0,0.0,0.0,1.0,0.010890296,1.0,3.6991096e-06,1
0.0,0.0023287323,0.0,0.0,1.0,0.0,0.0,0.017302856,0.0,2.185704e-05,0
0.0,0.0016512829,0.0,0.0,1.0,0.0,0.0,0.01851903,0.0,1.4839722e-05,0
0.0,0.00021170294,1.0,0.0,0.0,0.0,0.0,0.027225738,0.0,1.9284423e-06,0
0.0,4.2340587e-05,0.0,0.0,1.0,0.0,0.0,0.00041460517,0.0,9.252879e-05,0
0.0,8.4681174e-05,1.0,0.0,0.0,0.0,0.0,0.035352,0.0,8.402563e-07,0
0.0,0.0003810653,1.0,0.0,0.0,0.0,0.0,2.7640344e-05,0.0,0.003223147,0
0.0,0.00021170294,1.0,0.0,0.0,0.0,0.0,2.7640344e-05,0.0,0.0023021244,0
0.0,4.2340587e-05,1.0,0.0,0.0,0.0,0.0,2.7640344e-05,0.0,0.0013811016,0
0.0,4.2340587e-05,1.0,0.0,0.0,0.0,0.0,2.7640344e-05,0.0,0.0013811016,0
0.0,0.00021170294,1.0,0.0,0.0,0.0,0.0,0.0025981923,0.0,2.4305076e-05,0
0.0,0.00021170294,1.0,0.0,0.0,0.0,0.0,2.7640344e-05,0.0,0.0023021244,0
0.0,0.00012702176,1.0,0.0,0.0,0.0,0.0,2.7640344e-05,0.0,0.001841613,0
0.0,4.2340587e-05,1.0,0.0,0.0,0.0,0.0,2.7640344e-05,0.0,0.0013811016,0
